subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	4
sub-001	1	1	914
sub-002	1	1	1324
sub-003	1	1	1324
sub-004	1	1	1324
sub-005	1	1	1324
sub-006	1	1	914
sub-007	1	1	914
sub-008	1	1	1324
sub-009	1	1	914
sub-010	1	1	1324
sub-011	1	1	1324
sub-012	1	1	1324
sub-013	1	1	914
sub-014	1	1	1324
sub-015	1	1	914
sub-016	1	1	914
sub-017	1	1	1324
sub-018	1	1	914
sub-019	1	1	914
sub-020	1	1	1324
sub-021	1	1	1324
sub-022	1	1	1324
sub-023	1	1	1324
sub-024	1	1	914
sub-025	1	1	914
sub-026	1	1	914
sub-027	1	1	1324
sub-028	1	1	914
sub-029	1	1	1324
sub-030	1	1	1324
sub-031	1	1	1324
sub-032	1	1	914
sub-033	1	1	1324
sub-034	1	1	1324
sub-035	1	1	1324
sub-036	1	1	1324
sub-037	1	1	914
sub-038	1	1	1324
sub-039	1	1	1324
sub-040	1	1	1324
sub-041	1	1	914
sub-042	1	1	914
sub-043	1	1	914
sub-044	1	1	1324
sub-045	1	1	914
sub-046	1	1	914
sub-047	1	1	914
sub-048	1	1	914
sub-049	1	1	914
sub-050	1	1	914
