subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	73
sub-hc001	1	1	53
sub-hc002	1	1	53
sub-hc003	1	1	53
sub-hc004	1	1	53
sub-hc005	1	1	53
sub-hc006	1	1	53
sub-hc007	1	1	53
sub-hc008	1	1	53
sub-hc009	1	1	53
sub-hc010	1	1	53
sub-hc011	1	1	53
sub-hc012	1	1	53
sub-hc013	1	1	53
sub-hc015	1	1	53
sub-hc016	1	1	53
sub-hc017	1	1	53
sub-hc018	1	1	53
sub-hc019	1	1	53
sub-hc020	1	1	53
sub-hc021	1	1	53
sub-hc022	1	1	53
sub-hc023	1	1	53
sub-hc024	1	1	53
sub-hc025	1	1	53
sub-hc026	1	1	53
sub-hc027	1	1	53
sub-hc028	1	1	53
sub-hc029	1	1	53
sub-hc030	1	1	53
sub-hc031	1	1	53
sub-hc032	1	1	53
sub-hc033	1	1	53
sub-hc034	1	1	53
sub-hc035	1	1	53
sub-hc036	1	1	53
