subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	3
sub-sid000005	1	1	82
sub-sid000007	1	1	82
sub-sid000009	1	1	82
sub-sid000010	1	1	82
sub-sid000013	1	1	82
sub-sid000020	1	1	82
sub-sid000021	1	1	82
sub-sid000024	1	1	82
sub-sid000025	1	1	82
sub-sid000029	1	1	82
sub-sid000030	1	1	84
sub-sid000034	1	1	82
sub-sid000050	1	1	82
sub-sid000052	1	1	82
sub-sid000055	1	1	82
sub-sid000114	1	1	82
sub-sid000120	1	1	82
sub-sid000134	1	1	82
sub-sid000142	1	1	82
sub-sid000278	1	1	82
sub-sid000416	1	1	82
sub-sid000499	1	1	82
sub-sid000522	1	1	82
sub-sid000535	1	1	82
sub-sid000560	1	1	82
