subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	0	0	0	1	1	5
sub-01	0	1	11	1	1	215
sub-02	0	1	10	1	1	215
sub-03	0	1	11	1	1	215
sub-04	0	1	10	1	1	215
sub-05	0	1	10	1	1	215
sub-06	0	1	11	1	1	215
sub-07	0	1	11	1	1	215
sub-08	0	1	11	1	1	215
sub-09	0	1	11	1	1	215
sub-10	0	1	10	1	1	215
sub-11	0	1	11	1	1	215
sub-12	0	1	11	1	1	215
sub-13	0	1	10	1	1	215
sub-14	0	1	11	1	1	215
sub-15	0	1	9	1	1	215
sub-16	0	1	11	1	1	215
sub-17	0	1	11	1	1	215
sub-18	0	1	11	1	1	215
sub-19	0	1	11	1	1	215
sub-20	0	1	11	1	1	215
