subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	0	1	47	1	1	3
sub-5002	1	1	4	1	1	42
sub-5003	1	1	12	1	1	127
sub-5004	1	1	15	1	1	146
sub-5005	1	1	12	1	1	116
sub-5006	1	1	9	1	1	109
sub-5007	1	1	19	1	1	214
sub-5008	1	1	25	1	1	278
sub-5009	1	1	31	1	1	326
sub-5010	1	1	29	1	1	310
sub-5011	1	1	18	1	1	191
sub-5013	1	1	8	1	1	90
sub-5015	1	1	26	1	1	283
sub-5017	1	1	4	1	1	58
sub-5018	1	1	16	1	1	185
sub-5019	1	1	10	1	1	101
sub-5020	1	1	15	1	1	162
sub-5021	1	1	10	1	1	95
sub-5022	1	1	20	1	1	207
sub-5023	1	1	33	1	1	352
sub-5024	1	1	29	1	1	316
sub-5025	1	1	25	1	1	273
sub-5028	1	1	6	1	1	85
sub-5029	1	1	26	1	1	276
sub-5030	1	1	8	1	1	85
sub-5031	1	1	12	1	1	122
sub-5032	1	1	29	1	1	294
sub-5033	1	1	9	1	1	98
sub-5034	1	1	27	1	1	310
sub-5035	1	1	10	1	1	101
sub-5036	1	1	32	1	1	324
sub-5037	1	1	3	1	1	34
sub-5039	1	1	4	1	1	53
sub-5040	1	1	22	1	1	228
sub-5042	1	1	13	1	1	135
sub-5043	1	1	28	1	1	281
sub-5044	1	1	17	1	1	188
sub-5045	1	1	18	1	1	196
sub-5046	1	1	23	1	1	215
sub-5047	1	1	13	1	1	156
sub-5048	1	1	16	1	1	170
sub-5049	1	1	9	1	1	98
sub-5051	1	1	11	1	1	109
sub-5052	1	1	17	1	1	156
sub-5053	1	1	9	1	1	98
sub-5054	1	1	34	1	1	356
sub-5055	1	1	25	1	1	263
sub-5056	1	1	2	1	1	42
sub-5057	1	1	8	1	1	85
sub-5058	1	1	25	1	1	278
sub-5059	1	1	2	1	1	21
sub-5060	1	1	4	1	1	53
sub-5061	1	1	30	1	1	318
sub-5063	1	1	15	1	1	146
sub-5065	1	1	15	1	1	156
sub-5069	1	1	28	1	1	281
sub-5070	1	1	25	1	1	273
sub-5071	1	1	14	1	1	148
sub-5074	1	1	28	1	1	302
sub-5075	1	1	16	1	1	175
sub-5077	1	1	19	1	1	199
sub-5078	1	1	13	1	1	125
sub-5079	1	1	8	1	1	90
sub-5080	1	1	1	1	1	18
sub-5085	1	1	9	1	1	105
sub-5086	1	1	1	1	1	13
sub-5087	1	1	3	1	1	45
