subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	12
sub-3107	1	1	31
sub-3108	1	1	31
sub-3110	1	1	31
sub-3116	1	1	31
sub-3120	1	1	31
sub-3124	1	1	31
sub-3125	1	1	31
sub-3127	1	1	31
sub-3128	1	1	31
sub-3129	1	1	31
sub-3138	1	1	31
sub-3139	1	1	31
sub-3142	1	1	31
sub-3146	1	1	31
sub-3150	1	1	31
sub-3151	1	1	31
sub-3152	1	1	31
sub-3155	1	1	31
sub-3201	1	1	31
sub-3205	1	1	31
sub-3206	1	1	31
sub-3211	1	1	31
sub-3214	1	1	31
sub-3217	1	1	31
sub-3218	1	1	31
sub-3219	1	1	31
sub-3221	1	1	31
sub-3222	1	1	31
sub-3223	1	1	31
sub-3226	1	1	31
sub-3230	1	1	31
sub-3232	1	1	31
sub-3233	1	1	31
sub-3234	1	1	31
sub-3235	1	1	31
sub-3236	1	1	31
sub-3237	1	1	31
sub-3240	1	1	31
sub-3244	1	1	31
sub-3245	1	1	31
sub-3249	1	1	31
sub-3253	1	1	31
sub-3254	1	1	31
sub-4106	1	1	31
sub-4109	1	1	31
sub-4110	1	1	31
sub-4111	1	1	31
sub-4113	1	1	31
sub-4115	1	1	31
sub-4116	1	1	31
sub-4118	1	1	31
sub-4119	1	1	31
sub-4124	1	1	31
sub-4126	1	1	31
sub-4137	1	1	31
sub-4139	1	1	31
sub-4141	1	1	31
sub-4142	1	1	31
sub-4143	1	1	31
sub-4144	1	1	31
sub-4145	1	1	31
sub-4150	1	1	31
sub-4151	1	1	31
sub-4203	1	1	31
sub-4204	1	1	31
sub-4205	1	1	31
sub-4208	1	1	31
sub-4212	1	1	31
sub-4220	1	1	31
sub-4222	1	1	31
sub-4223	1	1	31
sub-4230	1	1	31
sub-4231	1	1	31
sub-4233	1	1	31
sub-4234	1	1	31
sub-4236	1	1	31
sub-4238	1	1	31
sub-4248	1	1	31
sub-4249	1	1	31
