subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	0	0	0	1	1	4
sub-119	1	1	8	1	1	641
sub-162	1	1	9	1	1	587
sub-269	1	1	9	1	1	635
sub-273	1	1	10	1	1	635
sub-275	1	1	9	1	1	587
sub-276	1	1	8	1	1	636
sub-278	1	1	9	1	1	636
sub-290	1	1	7	1	1	638
sub-300	1	1	10	1	1	587
sub-301	1	1	8	1	1	635
sub-303	1	1	8	1	1	438
sub-306	1	1	10	1	1	485
sub-309	0	1	2	1	1	391
sub-310	1	1	8	1	1	686
sub-311	1	1	9	1	1	635
sub-313	1	1	9	1	1	635
sub-314	1	1	10	1	1	635
sub-317	1	1	6	1	1	451
sub-319	1	1	5	1	1	454
sub-328	1	1	9	1	1	587
sub-329	1	1	8	1	1	635
sub-330	1	1	9	1	1	540
sub-336	1	1	9	1	1	587
sub-337	1	1	9	1	1	587
sub-338	1	1	8	1	1	537
sub-349	1	1	8	1	1	635
sub-356	1	1	9	1	1	538
sub-358	1	1	8	1	1	635
sub-359	1	1	10	1	1	635
sub-384	1	1	9	1	1	635
sub-386	1	1	10	1	1	635
sub-387	1	1	9	1	1	635
sub-388	1	1	9	1	1	636
sub-390	1	1	9	1	1	487
sub-391	1	1	8	1	1	453
sub-393	1	1	10	1	1	635
