subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	18
sub-pixar001	1	1	41
sub-pixar002	1	1	41
sub-pixar003	1	1	41
sub-pixar004	1	1	41
sub-pixar005	1	1	41
sub-pixar006	1	1	41
sub-pixar007	1	1	41
sub-pixar008	1	1	41
sub-pixar009	1	1	41
sub-pixar010	1	1	41
sub-pixar011	1	1	41
sub-pixar012	1	1	41
sub-pixar013	1	1	41
sub-pixar014	1	1	41
sub-pixar015	1	1	41
sub-pixar016	1	1	41
sub-pixar017	1	1	41
sub-pixar018	1	1	41
sub-pixar019	1	1	41
sub-pixar020	1	1	41
sub-pixar021	1	1	41
sub-pixar022	1	1	41
sub-pixar023	1	1	41
sub-pixar024	1	1	41
sub-pixar025	1	1	41
sub-pixar026	1	1	41
sub-pixar027	1	1	41
sub-pixar028	1	1	41
sub-pixar029	1	1	41
sub-pixar030	1	1	41
sub-pixar031	1	1	41
sub-pixar032	1	1	41
sub-pixar033	1	1	41
sub-pixar034	1	1	41
sub-pixar035	1	1	41
sub-pixar036	1	1	41
sub-pixar037	1	1	41
sub-pixar038	1	1	41
sub-pixar039	1	1	41
sub-pixar040	1	1	41
sub-pixar041	1	1	41
sub-pixar042	1	1	41
sub-pixar043	1	1	41
sub-pixar044	1	1	41
sub-pixar045	1	1	41
sub-pixar046	1	1	41
sub-pixar047	1	1	41
sub-pixar048	1	1	41
sub-pixar049	1	1	41
sub-pixar050	1	1	41
sub-pixar051	1	1	41
sub-pixar052	1	1	41
sub-pixar053	1	1	41
sub-pixar054	1	1	41
sub-pixar055	1	1	41
sub-pixar056	1	1	41
sub-pixar057	1	1	41
sub-pixar058	1	1	41
sub-pixar059	1	1	41
sub-pixar060	1	1	41
sub-pixar061	1	1	41
sub-pixar062	1	1	41
sub-pixar063	1	1	41
sub-pixar064	1	1	41
sub-pixar065	1	1	41
sub-pixar066	1	1	41
sub-pixar067	1	1	41
sub-pixar068	1	1	41
sub-pixar069	1	1	41
sub-pixar070	1	1	41
sub-pixar071	1	1	41
sub-pixar072	1	1	41
sub-pixar073	1	1	41
sub-pixar074	1	1	41
sub-pixar075	1	1	41
sub-pixar076	1	1	41
sub-pixar077	1	1	41
sub-pixar078	1	1	41
sub-pixar079	1	1	41
sub-pixar080	1	1	41
sub-pixar081	1	1	41
sub-pixar082	1	1	41
sub-pixar083	1	1	41
sub-pixar084	1	1	41
sub-pixar085	1	1	41
sub-pixar086	1	1	41
sub-pixar087	1	1	41
sub-pixar088	1	1	41
sub-pixar089	1	1	41
sub-pixar090	1	1	41
sub-pixar091	1	1	41
sub-pixar092	1	1	41
sub-pixar093	1	1	41
sub-pixar094	1	1	41
sub-pixar095	1	1	41
sub-pixar096	1	1	41
sub-pixar097	1	1	41
sub-pixar098	1	1	41
sub-pixar099	1	1	41
sub-pixar100	1	1	41
sub-pixar101	1	1	41
sub-pixar102	1	1	41
sub-pixar103	1	1	41
sub-pixar104	1	1	41
sub-pixar105	1	1	41
sub-pixar106	1	1	41
sub-pixar107	1	1	41
sub-pixar108	1	1	41
sub-pixar109	1	1	41
sub-pixar110	1	1	41
sub-pixar111	1	1	41
sub-pixar112	1	1	41
sub-pixar113	1	1	41
sub-pixar114	1	1	41
sub-pixar115	1	1	41
sub-pixar116	1	1	41
sub-pixar117	1	1	41
sub-pixar118	1	1	41
sub-pixar119	1	1	41
sub-pixar120	1	1	41
sub-pixar121	1	1	41
sub-pixar122	1	1	41
sub-pixar123	1	1	41
sub-pixar124	1	1	41
sub-pixar125	1	1	41
sub-pixar126	1	1	41
sub-pixar127	1	1	41
sub-pixar128	1	1	41
sub-pixar129	1	1	41
sub-pixar130	1	1	41
sub-pixar131	1	1	41
sub-pixar132	1	1	41
sub-pixar133	1	1	41
sub-pixar134	1	1	41
sub-pixar135	1	1	41
sub-pixar136	1	1	41
sub-pixar137	1	1	41
sub-pixar138	1	1	41
sub-pixar139	1	1	41
sub-pixar140	1	1	41
sub-pixar141	1	1	41
sub-pixar142	1	1	41
sub-pixar143	1	1	41
sub-pixar144	1	1	41
sub-pixar145	1	1	41
sub-pixar146	1	1	41
sub-pixar147	1	1	41
sub-pixar148	1	1	41
sub-pixar149	1	1	41
sub-pixar150	1	1	41
sub-pixar151	1	1	41
sub-pixar152	1	1	41
sub-pixar153	1	1	41
sub-pixar154	1	1	41
sub-pixar155	1	1	41
