subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	3
sub-RC4101	1	1	484
sub-RC4103	1	1	469
sub-RC4106	1	1	454
sub-RC4107	1	1	481
sub-RC4109	1	1	478
sub-RC4110	1	1	484
sub-RC4111	1	1	484
sub-RC4112	1	1	484
sub-RC4113	1	1	484
sub-RC4114	1	1	12
sub-RC4115	1	1	84
sub-RC4116	1	1	84
sub-RC4117	1	1	84
sub-RC4118	1	1	84
sub-RC4119	1	1	84
sub-RC4120	1	1	84
sub-RC4121	1	1	84
sub-RC4122	1	1	84
sub-RC4123	1	1	84
sub-RC4125	1	1	84
sub-RC4126	1	1	84
sub-RC4128	1	1	84
sub-RC4129	1	1	84
sub-RC4130	1	1	84
sub-RC4131	1	1	84
sub-RC4201	1	1	84
sub-RC4204	1	1	84
sub-RC4205	1	1	84
sub-RC4206	1	1	84
sub-RC4207	1	1	84
sub-RC4208	1	1	84
sub-RC4210	1	1	72
sub-RC4211	1	1	84
sub-RC4212	1	1	84
sub-RC4213	1	1	84
sub-RC4214	1	1	84
sub-RC4215	1	1	84
sub-RC4217	1	1	78
sub-RC4218	1	1	84
sub-RC4219	1	1	84
sub-RC4220	1	1	84
sub-RC4221	1	1	84
sub-RC4224	1	1	12
sub-RC4225	1	1	84
sub-RC4226	1	1	84
sub-RC4227	1	1	84
