subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	4
sub-01	1	1	354
sub-02	1	1	384
sub-03	1	1	384
sub-04	1	1	384
sub-05	1	1	384
sub-06	1	1	384
sub-07	1	1	384
sub-08	1	1	384
sub-09	1	1	384
sub-10	1	1	384
sub-11	1	1	384
sub-12	1	1	384
sub-13	1	1	384
sub-14	1	1	384
sub-15	1	1	384
sub-16	1	1	384
sub-17	1	1	384
sub-18	1	1	384
sub-19	1	1	384
sub-20	1	1	384
sub-21	1	1	384
sub-22	1	1	384
sub-23	1	1	384
sub-24	1	1	384
sub-25	1	1	384
sub-26	1	1	384
sub-27	1	1	384
sub-28	1	1	384
sub-29	1	1	384
sub-30	1	1	384
sub-31	1	1	384
sub-32	1	1	384
sub-33	1	1	384
sub-34	1	1	384
sub-35	1	1	384
sub-36	1	1	384
sub-37	1	1	384
sub-38	1	1	384
sub-39	1	1	384
sub-40	1	1	384
sub-41	1	1	384
sub-42	1	1	384
sub-43	1	1	384
sub-44	1	1	302
sub-45	1	1	384
sub-46	1	1	382
sub-47	1	1	384
sub-48	1	1	332
sub-49	1	1	384
sub-50	1	1	384
sub-51	1	1	384
sub-52	1	1	373
