subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	10
sub-1425	1	1	130
sub-1428	1	1	147
sub-1435	1	1	130
sub-1443	1	1	130
sub-1461	1	1	130
sub-1475	1	1	130
sub-1476	1	1	130
sub-1479	1	1	130
sub-1514	1	1	130
sub-1515	1	1	130
sub-1516	1	1	130
sub-1537	1	1	130
sub-1538	1	1	130
sub-1539	1	1	130
sub-1540	1	1	130
sub-1542	1	1	130
sub-1543	1	1	130
sub-1544	1	1	130
sub-1545	1	1	130
sub-1548	1	1	130
sub-1549	1	1	130
sub-1565	1	1	130
sub-1568	1	1	130
sub-1569	1	1	130
sub-1570	1	1	130
sub-1572	1	1	130
sub-1573	1	1	130
sub-1587	1	1	130
sub-1588	1	1	130
sub-1589	1	1	130
sub-1591	1	1	130
sub-1592	1	1	130
sub-1593	1	1	130
sub-1594	1	1	130
sub-1597	1	1	130
sub-1963	1	1	130
sub-2259	1	1	130
sub-2313	1	1	130
sub-2347	1	1	130
sub-2384	1	1	130
sub-2395	1	1	130
sub-2411	1	1	130
sub-2413	1	1	130
sub-2436	1	1	130
sub-2459	1	1	130
sub-2552	1	1	130
sub-2555	1	1	130
sub-2560	1	1	130
