subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	0	1	21	1	1	3
sub-001	1	1	3	1	1	326
sub-002	0	0	0	1	1	326
sub-003	0	0	0	1	1	326
sub-004	0	0	0	1	1	220
sub-005	0	0	0	1	1	220
sub-006	0	0	0	1	1	326
sub-007	0	0	0	1	1	326
sub-008	0	0	0	1	1	244
sub-009	0	0	0	1	1	220
sub-010	0	0	0	1	1	220
sub-011	0	0	0	1	1	220
sub-012	0	0	0	1	1	150
sub-013	0	0	0	1	1	89
sub-014	0	0	0	1	1	82
sub-015	0	0	0	1	1	244
sub-016	0	0	0	1	1	244
sub-017	0	0	0	1	1	227
sub-018	0	0	0	1	1	302
sub-019	0	0	0	1	1	135
sub-020	0	0	0	1	1	209
sub-021	0	0	0	1	1	326
sub-022	1	1	2	1	1	256
sub-023	0	0	0	1	1	244
sub-024	0	0	0	1	1	234
sub-025	0	0	0	1	1	275
sub-026	0	0	0	1	1	326
sub-027	0	0	0	1	1	220
sub-028	0	0	0	1	1	176
sub-029	0	0	0	1	1	326
sub-030	0	0	0	1	1	82
sub-031	0	0	0	1	1	65
sub-032	0	0	0	1	1	302
sub-033	0	0	0	1	1	220
sub-034	0	0	0	1	1	241
sub-035	1	1	1	1	1	244
sub-036	0	0	0	1	1	323
sub-037	0	0	0	1	1	82
sub-038	0	0	0	1	1	323
sub-039	0	0	0	1	1	323
sub-040	0	0	0	1	1	82
sub-041	0	0	0	1	1	220
sub-042	0	0	0	1	1	150
sub-043	0	0	0	1	1	82
sub-044	0	0	0	1	1	241
sub-045	0	0	0	1	1	241
sub-046	0	0	0	1	1	236
sub-047	0	0	0	1	1	65
sub-048	0	0	0	1	1	323
sub-049	0	0	0	1	1	323
sub-050	0	0	0	1	1	241
sub-051	0	0	0	1	1	82
sub-052	0	0	0	1	1	323
sub-053	0	0	0	1	1	302
sub-054	0	0	0	1	1	65
sub-055	0	0	0	1	1	241
sub-056	0	0	0	1	1	232
sub-057	0	0	0	1	1	323
sub-058	0	0	0	1	1	241
sub-059	0	0	0	1	1	253
sub-060	0	0	0	1	1	306
sub-061	0	0	0	1	1	150
sub-062	0	0	0	1	1	220
sub-063	0	0	0	1	1	241
sub-064	0	0	0	1	1	82
sub-065	0	0	0	1	1	82
sub-066	0	0	0	1	1	244
sub-067	0	0	0	1	1	220
sub-068	0	0	0	1	1	326
sub-069	0	0	0	1	1	244
sub-070	0	0	0	1	1	326
sub-071	0	0	0	1	1	326
sub-072	0	0	0	1	1	220
sub-073	0	0	0	1	1	302
sub-074	0	0	0	1	1	302
sub-075	0	0	0	1	1	186
sub-076	0	0	0	1	1	326
sub-077	0	0	0	1	1	326
sub-078	0	0	0	1	1	244
sub-079	0	0	0	1	1	84
sub-080	0	0	0	1	1	227
sub-081	0	0	0	1	1	326
sub-082	0	0	0	1	1	326
sub-083	0	0	0	1	1	89
sub-084	0	0	0	1	1	220
sub-085	0	0	0	1	1	326
sub-086	0	0	0	1	1	244
sub-087	0	0	0	1	1	174
sub-088	0	0	0	1	1	244
sub-089	0	0	0	1	1	150
sub-090	0	0	0	1	1	157
sub-091	0	0	0	1	1	106
sub-092	0	0	0	1	1	174
sub-093	0	0	0	1	1	244
sub-094	0	0	0	1	1	309
sub-095	0	0	0	1	1	82
sub-096	0	0	0	1	1	244
sub-097	0	0	0	1	1	227
sub-098	0	0	0	1	1	150
sub-099	0	0	0	1	1	244
sub-100	0	0	0	1	1	272
sub-101	0	0	0	1	1	323
sub-102	0	0	0	1	1	241
sub-103	0	0	0	1	1	31
sub-104	0	0	0	1	1	82
sub-105	0	0	0	1	1	82
sub-106	0	0	0	1	1	241
sub-107	0	0	0	1	1	48
sub-108	0	0	0	1	1	323
sub-109	0	0	0	1	1	241
sub-110	0	0	0	1	1	306
sub-111	0	0	0	1	1	323
sub-112	0	0	0	1	1	241
sub-113	0	0	0	1	1	151
sub-114	0	0	0	1	1	48
sub-115	0	0	0	1	1	241
sub-116	0	0	0	1	1	241
sub-117	0	0	0	1	1	150
sub-118	0	0	0	1	1	105
sub-119	0	0	0	1	1	190
sub-120	0	0	0	1	1	202
sub-121	0	0	0	1	1	82
sub-122	0	0	0	1	1	255
sub-123	0	0	0	1	1	220
sub-124	0	0	0	1	1	150
sub-125	0	0	0	1	1	241
sub-126	0	0	0	1	1	84
sub-127	0	0	0	1	1	323
sub-128	0	0	0	1	1	232
sub-129	0	0	0	1	1	31
sub-130	0	0	0	1	1	65
sub-131	0	0	0	1	1	232
sub-132	0	0	0	1	1	173
sub-133	0	0	0	1	1	323
sub-134	0	0	0	1	1	302
sub-135	0	0	0	1	1	241
sub-136	0	0	0	1	1	241
sub-137	0	0	0	1	1	168
sub-138	0	0	0	1	1	190
sub-139	0	0	0	1	1	241
sub-140	0	0	0	1	1	103
sub-141	0	0	0	1	1	103
sub-142	0	0	0	1	1	164
sub-143	0	0	0	1	1	242
sub-144	0	0	0	1	1	116
sub-145	0	0	0	1	1	323
sub-146	0	0	0	1	1	241
sub-147	0	0	0	1	1	82
sub-148	0	0	0	1	1	241
sub-149	0	0	0	1	1	103
sub-150	0	0	0	1	1	137
sub-151	0	0	0	1	1	82
sub-152	0	0	0	1	1	103
sub-153	0	0	0	1	1	84
sub-154	1	1	3	1	1	65
sub-155	0	0	0	1	1	65
sub-156	0	0	0	1	1	152
sub-157	0	0	0	1	1	137
sub-158	0	0	0	1	1	137
sub-159	0	0	0	1	1	171
sub-160	0	0	0	1	1	241
sub-161	0	0	0	1	1	241
sub-162	0	0	0	1	1	241
sub-163	1	1	1	1	1	82
sub-164	0	0	0	1	1	241
sub-165	0	0	0	1	1	241
sub-166	0	0	0	1	1	31
sub-167	0	0	0	1	1	241
sub-168	0	0	0	1	1	241
sub-169	0	0	0	1	1	241
sub-170	0	0	0	1	1	171
sub-171	0	0	0	1	1	31
sub-172	0	0	0	1	1	241
sub-173	0	0	0	1	1	67
sub-174	0	0	0	1	1	241
sub-175	0	0	0	1	1	48
sub-176	0	0	0	1	1	241
sub-177	0	0	0	1	1	65
sub-178	1	1	1	1	1	242
sub-179	0	0	0	1	1	103
sub-180	0	0	0	1	1	105
sub-181	0	0	0	1	1	82
sub-182	0	0	0	1	1	241
sub-183	0	0	0	1	1	116
sub-184	0	0	0	1	1	168
sub-185	0	0	0	1	1	242
sub-186	0	0	0	1	1	241
sub-187	0	0	0	1	1	141
sub-188	0	0	0	1	1	135
