subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	1	1	1	8
sub-CTL01	0	0	0	1	1	36
sub-CTL02	0	0	0	1	1	36
sub-CTL03	0	0	0	1	1	36
sub-CTL04	0	0	0	1	1	36
sub-CTL05	0	0	0	1	1	36
sub-CTL06	0	0	0	1	1	36
sub-CTL07	0	0	0	1	1	36
sub-CTL08	0	0	0	1	1	36
sub-CTL09	0	0	0	1	1	36
sub-CTL10	0	0	0	1	1	36
sub-CTL11	0	0	0	1	1	36
sub-CTL12	0	0	0	1	1	36
sub-CTL13	0	0	0	1	1	36
sub-CTL14	0	0	0	1	1	36
sub-CTL15	0	0	0	1	1	36
sub-ODN01	0	0	0	1	1	36
sub-ODN02	0	0	0	1	1	36
sub-ODN03	0	0	0	1	1	36
sub-ODN04	0	0	0	1	1	36
sub-ODN05	0	0	0	1	1	36
sub-ODN06	0	0	0	1	1	36
sub-ODN07	0	0	0	1	1	36
sub-ODN08	0	0	0	1	1	36
sub-ODN09	0	0	0	1	1	36
sub-ODN10	0	0	0	1	1	36
sub-ODN11	0	0	0	1	1	36
sub-ODN12	0	0	0	1	1	36
sub-ODN13	0	0	0	1	1	36
sub-ODN14	0	0	0	1	1	36
sub-ODN15	0	0	0	1	1	36
sub-ODP01	0	0	0	1	1	36
sub-ODP02	0	0	0	1	1	36
sub-ODP03	0	0	0	1	1	36
sub-ODP04	0	0	0	1	1	36
sub-ODP05	0	0	0	1	1	36
sub-ODP06	0	0	0	1	1	36
sub-ODP07	0	0	0	1	1	36
sub-ODP08	0	0	0	1	1	36
sub-ODP09	0	0	0	1	1	36
sub-ODP10	0	0	0	1	1	36
sub-ODP11	0	0	0	1	1	36
sub-ODP12	0	0	0	1	1	36
sub-ODP13	0	0	0	1	1	36
sub-ODP14	0	0	0	1	1	36
sub-ODP15	0	0	0	1	1	36
