subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	3
sub-013	1	1	79
sub-014	1	1	79
sub-015	1	1	79
sub-018	1	1	79
sub-022	1	1	79
sub-028	1	1	79
sub-029	1	1	79
sub-030	1	1	79
sub-035	1	1	79
sub-036	1	1	79
sub-037	1	1	79
sub-038	1	1	79
sub-043	1	1	79
sub-044	1	1	79
sub-045	1	1	79
sub-046	1	1	79
sub-047	1	1	79
sub-049	1	1	79
sub-050	1	1	79
sub-054	1	1	79
sub-056	1	1	79
sub-059	1	1	79
sub-060	1	1	79
sub-061	1	1	79
sub-111	1	1	79
sub-112	1	1	79
sub-113	1	1	79
sub-114	1	1	79
sub-115	1	1	79
sub-116	1	1	79
sub-117	1	1	79
sub-118	1	1	79
sub-119	1	1	79
sub-120	1	1	79
sub-122	1	1	79
sub-123	1	1	79
sub-124	1	1	79
sub-126	1	1	79
sub-127	1	1	79
sub-129	1	1	79
sub-133	1	1	79
sub-134	1	1	79
sub-152	1	1	79
sub-153	1	1	79
sub-155	1	1	79
sub-159	1	1	79
sub-160	1	1	79
sub-161	1	1	79
sub-162	1	1	79
sub-166	1	1	79
sub-167	1	1	79
sub-169	1	1	79
sub-170	1	1	79
sub-171	1	1	79
sub-172	1	1	79
sub-173	1	1	79
sub-174	1	1	79
sub-175	1	1	79
sub-176	1	1	79
sub-177	1	1	79
sub-178	1	1	79
sub-181	1	1	79
sub-182	1	1	79
sub-183	1	1	79
sub-184	1	1	79
sub-186	1	1	79
sub-192	1	1	79
sub-193	1	1	79
sub-194	1	1	79
sub-196	1	1	79
sub-197	1	1	79
sub-200	1	1	79
sub-201	1	1	79
sub-202	1	1	79
sub-205	1	1	79
sub-207	1	1	79
sub-208	1	1	79
sub-209	1	1	79
sub-211	1	1	79
sub-212	1	1	79
sub-214	1	1	79
