subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	3
sub-001	1	1	354
sub-002	1	1	353
sub-003	1	1	353
sub-004	1	1	353
sub-005	1	1	353
sub-006	1	1	353
sub-007	1	1	319
sub-008	1	1	353
sub-009	1	1	353
sub-010	1	1	353
sub-011	1	1	353
sub-012	1	1	292
sub-013	1	1	353
sub-014	1	1	353
sub-015	1	1	353
sub-016	1	1	353
sub-017	1	1	292
sub-018	1	1	234
sub-019	1	1	353
sub-020	1	1	353
sub-021	1	1	353
sub-022	1	1	353
sub-023	1	1	353
sub-024	1	1	353
sub-025	1	1	353
sub-026	1	1	353
sub-027	1	1	353
sub-028	1	1	353
sub-029	1	1	353
sub-030	1	1	353
sub-031	1	1	266
sub-032	1	1	179
sub-033	1	1	295
sub-034	1	1	353
sub-035	1	1	353
sub-036	1	1	353
sub-037	1	1	353
sub-038	1	1	353
sub-039	1	1	353
sub-040	1	1	353
sub-041	1	1	353
sub-042	1	1	353
sub-043	1	1	353
sub-044	1	1	353
sub-045	1	1	353
sub-046	1	1	292
sub-047	1	1	353
sub-048	1	1	353
sub-049	1	1	353
