subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	0	0	0	1	1	3
sub-02	1	1	90	1	1	641
sub-04	1	1	90	1	1	641
sub-07	1	1	60	1	1	443
sub-08	1	1	90	1	1	641
sub-09	1	1	90	1	1	641
sub-10	1	1	90	1	1	641
sub-11	1	1	90	1	1	641
sub-12	1	1	90	1	1	641
sub-13	1	1	90	1	1	641
sub-14	0	1	78	1	1	542
sub-15	1	1	90	1	1	640
sub-16	1	1	90	1	1	641
sub-17	1	1	90	1	1	641
sub-18	1	1	90	1	1	641
sub-19	1	1	90	1	1	627
sub-20	0	1	91	1	1	655
sub-21	1	1	90	1	1	641
sub-22	1	1	90	1	1	641
sub-24	1	1	90	1	1	636
sub-26	1	1	90	1	1	641
