subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	1	1	1	5
sub-control01	0	0	0	1	1	137
sub-control02	0	0	0	1	1	137
sub-control03	0	0	0	1	1	137
sub-control04	0	0	0	1	1	137
sub-control05	0	0	0	1	1	137
sub-control06	0	0	0	1	1	137
sub-control07	0	0	0	1	1	137
sub-control08	0	0	0	1	1	137
sub-control09	0	0	0	1	1	137
sub-control10	0	0	0	1	1	137
sub-control11	0	0	0	1	1	137
sub-control12	0	0	0	1	1	137
sub-control13	0	0	0	1	1	137
sub-control14	0	0	0	1	1	137
sub-control15	0	0	0	1	1	137
sub-control16	0	0	0	1	1	137
sub-control17	0	0	0	1	1	137
sub-control18	0	0	0	1	1	137
sub-control19	0	0	0	1	1	137
sub-control20	0	0	0	1	1	137
sub-mdd01	0	0	0	1	1	137
sub-mdd02	0	0	0	1	1	137
sub-mdd03	0	0	0	1	1	137
sub-mdd04	0	0	0	1	1	137
sub-mdd05	0	0	0	1	1	137
sub-mdd06	0	0	0	1	1	137
sub-mdd07	0	0	0	1	1	137
sub-mdd08	0	0	0	1	1	137
sub-mdd09	0	0	0	1	1	137
sub-mdd10	0	0	0	1	1	137
sub-mdd11	0	0	0	1	1	137
sub-mdd12	0	0	0	1	1	137
sub-mdd13	0	0	0	1	1	137
sub-mdd14	0	0	0	1	1	137
sub-mdd15	0	0	0	1	1	137
sub-mdd16	0	0	0	1	1	137
sub-mdd17	0	0	0	1	1	137
sub-mdd18	0	0	0	1	1	137
sub-mdd19	0	0	0	1	1	137
