subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	2	1	1	3
sub-18	0	0	0	1	1	49
sub-22	0	0	0	1	1	49
sub-23	0	0	0	1	1	49
sub-24	0	0	0	1	1	49
sub-26	0	0	0	1	1	49
sub-28	0	0	0	1	1	49
sub-30	0	0	0	1	1	49
sub-31	0	0	0	1	1	49
sub-35	0	0	0	1	1	49
sub-36	0	0	0	1	1	49
sub-37	0	0	0	1	1	49
sub-38	0	0	0	1	1	49
sub-39	0	0	0	1	1	49
sub-41	0	0	0	1	1	49
sub-42	0	0	0	1	1	49
sub-43	0	0	0	1	1	49
sub-44	0	0	0	1	1	49
sub-45	0	0	0	1	1	49
sub-46	0	0	0	1	1	49
sub-47	0	0	0	1	1	49
sub-48	0	0	0	1	1	49
sub-49	0	0	0	1	1	49
sub-50	0	0	0	1	1	49
sub-51	0	0	0	1	1	49
sub-52	0	0	0	1	1	49
sub-53	0	0	0	1	1	49
