subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	6
sub-001	1	1	156
sub-002	1	1	156
sub-003	1	1	156
sub-004	1	1	156
sub-005	1	1	156
sub-006	1	1	156
sub-007	1	1	114
sub-008	1	1	156
sub-009	1	1	156
sub-010	1	1	156
sub-011	1	1	156
sub-012	1	1	156
sub-013	1	1	156
sub-014	1	1	156
sub-015	1	1	156
sub-016	1	1	156
sub-017	1	1	156
sub-018	1	1	156
sub-019	1	1	156
sub-020	1	1	156
sub-021	1	1	156
sub-022	1	1	156
sub-023	1	1	156
sub-024	1	1	156
sub-025	1	1	156
sub-026	1	1	156
sub-027	1	1	156
sub-028	1	1	156
sub-029	1	1	156
sub-030	1	1	156
sub-031	1	1	156
sub-032	1	1	156
sub-033	1	1	156
sub-034	1	1	156
sub-035	1	1	156
sub-037	1	1	156
sub-038	1	1	156
sub-039	1	1	156
sub-040	1	1	156
sub-041	1	1	156
sub-042	1	1	156
sub-043	1	1	156
sub-044	1	1	156
sub-045	1	1	156
sub-046	1	1	156
sub-047	1	1	155
sub-048	1	1	156
sub-049	1	1	156
sub-050	1	1	156
sub-051	1	1	156
sub-052	1	1	156
sub-053	1	1	156
sub-054	1	1	156
sub-055	1	1	156
sub-057	1	1	156
sub-058	1	1	156
sub-061	1	1	156
sub-062	1	1	156
sub-063	1	1	156
sub-064	1	1	155
sub-065	1	1	156
sub-066	1	1	156
sub-067	1	1	156
sub-068	1	1	156
sub-080	1	1	156
sub-081	1	1	156
sub-082	1	1	156
sub-083	1	1	156
sub-084	1	1	156
sub-086	1	1	156
sub-087	1	1	156
sub-088	1	1	156
sub-089	1	1	156
sub-090	1	1	156
sub-091	1	1	156
sub-092	1	1	156
sub-093	1	1	156
sub-095	1	1	156
sub-096	1	1	156
sub-097	1	1	156
