subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	2	1	1	4
sub-04	1	1	10	1	1	116
sub-05	1	1	10	1	1	116
sub-06	1	1	10	1	1	116
sub-07	1	1	10	1	1	116
sub-08	1	1	10	1	1	116
sub-11	1	1	10	1	1	116
sub-12	1	1	10	1	1	116
sub-13	1	1	10	1	1	116
sub-14	1	1	10	1	1	116
sub-16	1	1	10	1	1	116
sub-17	1	1	10	1	1	116
sub-18	1	1	10	1	1	116
sub-19	1	1	10	1	1	116
sub-20	1	1	10	1	1	116
sub-21	1	1	10	1	1	116
sub-22	1	1	10	1	1	116
sub-24	1	1	10	1	1	116
sub-25	1	1	10	1	1	116
