subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	1	1	1	6
sub-1	0	0	0	1	1	66
sub-10	0	0	0	1	1	66
sub-11	0	0	0	1	1	66
sub-12	0	0	0	1	1	66
sub-13	0	0	0	1	1	66
sub-14	0	0	0	1	1	66
sub-15	0	0	0	1	1	66
sub-16	0	0	0	1	1	66
sub-17	0	0	0	1	1	66
sub-18	0	0	0	1	1	66
sub-19	0	0	0	1	1	66
sub-2	0	0	0	1	1	66
sub-20	0	0	0	1	1	66
sub-21	0	0	0	1	1	66
sub-22	0	0	0	1	1	66
sub-23	0	0	0	1	1	66
sub-24	0	0	0	1	1	66
sub-25	0	0	0	1	1	66
sub-26	0	0	0	1	1	66
sub-27	0	0	0	1	1	66
sub-28	0	0	0	1	1	66
sub-29	0	0	0	1	1	66
sub-3	0	0	0	1	1	66
sub-30	0	0	0	1	1	66
sub-31	0	0	0	1	1	66
sub-32	0	0	0	1	1	66
sub-33	0	0	0	1	1	66
sub-34	0	0	0	1	1	66
sub-35	0	0	0	1	1	66
sub-36	0	0	0	1	1	66
sub-37	0	0	0	1	1	66
sub-38	0	0	0	1	1	66
sub-39	0	0	0	1	1	66
sub-4	0	0	0	1	1	66
sub-40	0	0	0	1	1	66
sub-41	0	0	0	1	1	66
sub-42	0	0	0	1	1	66
sub-43	0	0	0	1	1	66
sub-5	0	0	0	1	1	66
sub-6	0	0	0	1	1	66
sub-7	0	0	0	1	1	66
sub-8	0	0	0	1	1	66
sub-9	0	0	0	1	1	66
