subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	0	0	0	1	1	4
sub-A0023	1	1	3	1	1	21
sub-A0078	1	1	3	1	1	21
sub-A0085	1	1	3	1	1	21
sub-A0100	1	1	3	1	1	21
sub-A0106	0	1	6	1	1	39
sub-A0110	1	1	3	1	1	21
sub-A0123	0	1	6	1	1	39
sub-A0125	1	1	3	1	1	21
sub-A0127	1	1	3	1	1	21
sub-A0129	1	1	3	1	1	21
sub-A0134	1	1	3	1	1	21
sub-A0136	0	1	6	1	1	39
sub-A0148	1	1	3	1	1	21
sub-A0150	1	1	3	1	1	21
sub-A0155	0	1	6	1	1	39
sub-A0159	1	1	3	1	1	21
sub-A0161	1	1	3	1	1	21
sub-A0163	1	1	3	1	1	21
sub-A0164	1	1	3	1	1	21
