subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	5
sub-001	1	1	45
sub-002	1	1	45
sub-003	1	1	45
sub-004	1	1	45
sub-005	1	1	45
sub-006	1	1	45
sub-007	1	1	45
sub-008	1	1	45
sub-009	1	1	45
sub-010	1	1	45
sub-011	1	1	45
sub-012	1	1	45
sub-013	1	1	45
sub-014	1	1	45
sub-015	1	1	45
sub-016	1	1	45
sub-017	1	1	45
sub-018	1	1	45
sub-019	1	1	45
sub-020	1	1	45
sub-021	1	1	45
sub-022	1	1	45
sub-023	1	1	45
sub-024	1	1	45
sub-025	1	1	45
sub-026	1	1	45
sub-027	1	1	45
sub-028	1	1	45
sub-029	1	1	45
sub-030	1	1	45
sub-031	1	1	45
sub-032	1	1	45
sub-033	1	1	45
sub-034	1	1	45
sub-035	1	1	45
sub-036	1	1	45
sub-037	1	1	45
sub-038	1	1	45
sub-039	1	1	45
sub-040	1	1	45
sub-041	1	1	45
sub-042	1	1	45
sub-043	1	1	45
sub-044	1	1	45
sub-045	1	1	45
sub-046	1	1	45
sub-047	1	1	45
sub-048	1	1	45
sub-049	1	1	45
sub-050	1	1	45
sub-051	1	1	45
sub-052	1	1	45
sub-053	1	1	45
sub-054	1	1	45
sub-055	1	1	45
sub-056	1	1	45
sub-057	1	1	45
sub-058	1	1	45
sub-059	1	1	45
sub-060	1	1	45
sub-061	1	1	45
sub-062	1	1	45
sub-063	1	1	45
sub-064	1	1	45
sub-065	1	1	45
sub-066	1	1	45
sub-067	1	1	45
sub-068	1	1	45
sub-069	1	1	45
sub-070	1	1	45
sub-071	1	1	45
sub-072	1	1	45
sub-073	1	1	45
sub-074	1	1	45
sub-075	1	1	45
sub-076	1	1	45
sub-077	1	1	45
sub-078	1	1	45
sub-079	1	1	45
sub-080	1	1	45
sub-081	1	1	45
sub-082	1	1	45
sub-083	1	1	45
sub-084	1	1	45
sub-085	1	1	45
sub-086	1	1	45
sub-087	1	1	45
sub-088	1	1	45
sub-089	1	1	45
sub-090	1	1	45
sub-091	1	1	45
sub-092	1	1	45
sub-093	1	1	45
sub-094	1	1	45
sub-095	1	1	45
sub-096	1	1	45
sub-097	1	1	45
sub-098	1	1	45
sub-099	1	1	45
sub-100	1	1	45
sub-101	1	1	45
sub-102	1	1	45
sub-103	1	1	45
sub-104	1	1	45
sub-105	1	1	45
sub-106	1	1	45
sub-107	1	1	45
sub-108	1	1	45
sub-109	1	1	45
sub-110	1	1	45
sub-111	1	1	45
sub-112	1	1	45
sub-113	1	1	45
sub-114	1	1	45
sub-115	1	1	45
sub-116	1	1	45
sub-117	1	1	45
sub-118	1	1	45
sub-119	1	1	45
sub-120	1	1	45
sub-121	1	1	45
sub-122	1	1	45
sub-123	1	1	45
sub-124	1	1	45
sub-125	1	1	45
sub-126	1	1	45
sub-127	1	1	45
sub-128	1	1	45
sub-129	1	1	45
sub-130	1	1	45
sub-131	1	1	45
sub-132	1	1	45
sub-133	1	1	45
sub-134	1	1	45
sub-135	1	1	45
sub-136	1	1	45
sub-137	1	1	45
sub-138	1	1	45
sub-139	1	1	45
sub-140	1	1	45
sub-141	1	1	45
sub-142	1	1	45
sub-143	1	1	45
sub-144	1	1	45
sub-145	1	1	45
sub-146	1	1	45
sub-147	1	1	45
sub-148	1	1	45
sub-149	1	1	45
sub-150	1	1	45
sub-151	1	1	45
sub-152	1	1	45
sub-153	1	1	45
sub-154	1	1	45
sub-155	1	1	45
sub-156	1	1	45
sub-157	1	1	45
sub-158	1	1	45
sub-159	1	1	45
sub-160	1	1	45
sub-161	1	1	45
sub-162	1	1	45
sub-163	1	1	45
sub-164	1	1	45
sub-165	1	1	45
sub-166	1	1	45
sub-167	1	1	45
sub-168	1	1	45
sub-169	1	1	45
sub-170	1	1	45
sub-171	1	1	45
sub-172	1	1	45
sub-173	1	1	45
sub-174	1	1	45
sub-175	1	1	45
sub-176	1	1	45
sub-177	1	1	45
sub-178	1	1	45
sub-179	1	1	45
sub-180	1	1	45
sub-181	1	1	45
sub-182	1	1	45
sub-183	1	1	45
sub-184	1	1	45
sub-185	1	1	45
sub-186	1	1	45
sub-187	1	1	45
sub-188	1	1	45
sub-189	1	1	45
sub-190	1	1	45
sub-191	1	1	45
sub-192	1	1	45
sub-193	1	1	45
sub-194	1	1	45
sub-195	1	1	45
sub-196	1	1	45
sub-197	1	1	45
sub-198	1	1	45
sub-199	1	1	45
sub-200	1	1	45
sub-201	1	1	45
sub-202	1	1	45
sub-203	1	1	45
sub-204	1	1	45
sub-205	1	1	45
sub-206	1	1	45
sub-207	1	1	45
sub-208	1	1	45
sub-209	1	1	45
sub-210	1	1	45
sub-211	1	1	45
sub-212	1	1	45
sub-213	1	1	45
sub-214	1	1	45
sub-215	1	1	45
sub-216	1	1	45
sub-217	1	1	45
