subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	3
sub-dmp0005	1	1	312
sub-dmp0010	1	1	624
sub-dmp0011	1	1	614
sub-dmp0018	1	1	624
sub-dmp0019	1	1	614
sub-dmp0032	1	1	312
sub-dmp0034	1	1	312
sub-dmp0036	1	1	624
sub-dmp0048	1	1	614
sub-dmp0060	1	1	614
sub-dmp0062	1	1	582
sub-dmp0063	1	1	614
sub-dmp0090	1	1	307
sub-dmp0095	1	1	491
sub-dmp0097	1	1	614
sub-dmp0098	1	1	598
sub-dmp0106	1	1	614
sub-dmp0109	1	1	614
sub-dmp0110	1	1	614
sub-dmp0115	1	1	291
sub-dmp0118	1	1	572
sub-dmp0140	1	1	614
sub-dmp0148	1	1	614
sub-dmp0153	1	1	307
sub-dmp0154	1	1	614
sub-dmp0157	1	1	291
sub-dmp0169	1	1	614
sub-dmp0171	1	1	598
sub-dmp0183	1	1	614
sub-dmp0188	1	1	307
sub-dmp0199	1	1	307
sub-dmp0200	1	1	598
sub-dmp0202	1	1	598
sub-dmp0216	1	1	307
sub-dmp0217	1	1	614
sub-dmp0219	1	1	598
sub-dmp0224	1	1	307
sub-dmp0229	1	1	307
sub-dmp0259	1	1	614
sub-dmp0267	1	1	614
sub-dmp0269	1	1	614
sub-dmp0273	1	1	614
sub-dmp0290	1	1	614
sub-dmp0295	1	1	307
sub-dmp0301	1	1	614
sub-dmp0305	1	1	614
sub-dmp0313	1	1	614
sub-dmp0330	1	1	591
sub-dmp0350	1	1	614
sub-dmp0356	1	1	598
sub-dmp0357	1	1	614
sub-dmp0381	1	1	614
sub-dmp0389	1	1	614
sub-dmp0414	1	1	614
sub-dmp0418	1	1	307
sub-dmp0423	1	1	307
sub-dmp0442	1	1	614
sub-dmp0445	1	1	614
sub-dmp0492	1	1	614
sub-dmp0498	1	1	614
sub-dmp0502	1	1	627
sub-dmp0509	1	1	614
sub-dmp0510	1	1	614
sub-dmp0521	1	1	598
sub-dmp0523	1	1	614
sub-dmp0528	1	1	614
sub-dmp0556	1	1	614
sub-dmp0558	1	1	598
sub-dmp0559	1	1	614
sub-dmp0574	1	1	598
sub-dmp0587	1	1	307
sub-dmp0596	1	1	614
sub-dmp0598	1	1	614
sub-dmp0614	1	1	614
sub-dmp0628	1	1	291
sub-dmp0649	1	1	598
sub-dmp0660	1	1	614
sub-dmp0678	1	1	621
sub-dmp0679	1	1	307
sub-dmp0700	1	1	614
sub-dmp0701	1	1	614
sub-dmp0715	1	1	614
sub-dmp0723	1	1	614
sub-dmp0724	1	1	614
sub-dmp0730	1	1	614
sub-dmp0755	1	1	614
sub-dmp0759	1	1	614
sub-dmp0760	1	1	614
sub-dmp0772	1	1	614
sub-dmp0773	1	1	307
sub-dmp0775	1	1	614
sub-dmp0777	1	1	307
sub-dmp0782	1	1	307
sub-dmp0793	1	1	614
sub-dmp0795	1	1	614
sub-dmp0800	1	1	614
sub-dmp0801	1	1	614
sub-dmp0808	1	1	614
sub-dmp0812	1	1	614
sub-dmp0813	1	1	614
sub-dmp0815	1	1	614
sub-dmp0821	1	1	614
sub-dmp0844	1	1	614
sub-dmp0847	1	1	614
sub-dmp0848	1	1	614
sub-dmp0859	1	1	614
sub-dmp0870	1	1	307
sub-dmp0877	1	1	307
sub-dmp0889	1	1	307
sub-dmp0897	1	1	614
sub-dmp0909	1	1	614
sub-dmp0912	1	1	307
sub-dmp0913	1	1	314
sub-dmp0919	1	1	614
sub-dmp0922	1	1	307
sub-dmp0928	1	1	307
sub-dmp0929	1	1	614
sub-dmp0937	1	1	614
sub-dmp0939	1	1	614
sub-dmp0952	1	1	307
sub-dmp0954	1	1	614
sub-dmp0969	1	1	614
sub-dmp0971	1	1	614
sub-dmp0975	1	1	307
sub-dmp0978	1	1	614
sub-dmp0982	1	1	307
sub-dmp0985	1	1	614
sub-dmp0996	1	1	307
sub-dmp1000	1	1	614
sub-dmp1001	1	1	307
sub-dmp1003	1	1	614
sub-dmp1006	1	1	614
sub-dmp1028	1	1	307
sub-dmp1032	1	1	614
sub-dmp1037	1	1	614
sub-dmp1039	1	1	614
sub-dmp1052	1	1	614
sub-dmp1057	1	1	614
sub-dmp1062	1	1	614
sub-dmp1064	1	1	598
sub-dmp1070	1	1	614
sub-dmp1083	1	1	614
sub-dmp1090	1	1	614
sub-dmp1095	1	1	598
sub-dmp1100	1	1	614
sub-dmp1114	1	1	614
sub-dmp1135	1	1	614
sub-dmp1157	1	1	291
sub-dmp1165	1	1	469
sub-dmp1172	1	1	614
sub-dmp1183	1	1	614
sub-dmp1192	1	1	614
sub-dmp1205	1	1	614
sub-dmp1221	1	1	614
sub-dmp1225	1	1	614
sub-dmp1226	1	1	307
sub-dmp1227	1	1	307
sub-dmp1231	1	1	614
sub-dmp1241	1	1	485
sub-dmp1243	1	1	307
sub-dmp1248	1	1	604
sub-dmp1252	1	1	307
sub-dmp1260	1	1	614
sub-dmp1266	1	1	598
sub-dmp1271	1	1	628
sub-dmp1291	1	1	614
