subject_id	error_codes_ext_n	error_codes_n	error_n	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	4	1	1	383
sub-1358	0	0	0	1	1	124
sub-1473	0	0	0	1	1	124
sub-1480	0	0	0	1	1	124
sub-1482	0	0	0	1	1	124
sub-1493	0	0	0	1	1	124
sub-1502	0	0	0	1	1	124
sub-1506	0	0	0	1	1	124
sub-1511	0	0	0	1	1	124
sub-1514	0	0	0	1	1	124
sub-1519	0	0	0	1	1	124
sub-1571	0	0	0	1	1	124
sub-1596	0	0	0	1	1	124
sub-1598	0	0	0	1	1	124
sub-1610	0	0	0	1	1	124
sub-1611	0	0	0	1	1	124
sub-1615	0	0	0	1	1	124
sub-1638	0	0	0	1	1	124
sub-1643	0	0	0	1	1	124
sub-1645	0	0	0	1	1	124
sub-1665	0	0	0	1	1	124
sub-1671	0	0	0	1	1	124
sub-1678	0	0	0	1	1	124
sub-1697	0	0	0	1	1	124
sub-1700	0	0	0	1	1	161
sub-1705	0	0	0	1	1	124
sub-1710	0	0	0	1	1	124
sub-1734	0	0	0	1	1	124
sub-1752	0	0	0	1	1	124
sub-1754	0	0	0	1	1	124
sub-1756	0	0	0	1	1	124
sub-1757	0	0	0	1	1	124
sub-1766	0	0	0	1	1	124
sub-1770	0	0	0	1	1	124
sub-1780	0	0	0	1	1	113
sub-1781	0	0	0	1	1	161
sub-1797	0	0	0	1	1	124
sub-1798	0	0	0	1	1	124
sub-1803	0	0	0	1	1	124
sub-1810	0	0	0	1	1	124
sub-1813	0	0	0	1	1	113
sub-1814	0	0	0	1	1	124
sub-1815	0	0	0	1	1	124
sub-1822	0	0	0	1	1	124
sub-1824	0	0	0	1	1	124
sub-1842	0	0	0	1	1	124
sub-1843	0	0	0	1	1	124
sub-1855	0	0	0	1	1	124
sub-1856	0	0	0	1	1	124
