subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	10
sub-jgroptoINS501	1	1	96
sub-jgroptoINS503	1	1	96
sub-jgroptoINS506	1	1	96
sub-jgroptoINS515	1	1	96
sub-jgroptoINS516	1	1	96
sub-jgroptoINS517	1	1	96
sub-jgroptoINS518	1	1	96
sub-jgroptoINS522	1	1	96
sub-jgroptoINS526	1	1	96
sub-jgroptoINS541	1	1	96
sub-jgroptoINS542	1	1	96
sub-jgroptoINS543	1	1	96
sub-jgroptoINS544	1	1	96
sub-jgroptoINS546	1	1	96
sub-jgroptoINS548	1	1	96
sub-jgroptoINS550	1	1	96
sub-jgroptoINS551	1	1	96
sub-jgroptoINS554	1	1	96
