subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	3
sub-001	1	1	27
sub-002	1	1	27
sub-003	1	1	27
sub-004	1	1	27
sub-005	1	1	27
sub-006	1	1	27
sub-007	1	1	27
sub-008	1	1	27
sub-009	1	1	27
sub-010	1	1	27
sub-011	1	1	27
sub-012	1	1	27
sub-013	1	1	27
sub-015	1	1	27
sub-016	1	1	27
sub-017	1	1	27
sub-018	1	1	27
sub-019	1	1	27
sub-021	1	1	27
sub-022	1	1	27
sub-023	1	1	27
sub-025	1	1	27
sub-026	1	1	27
sub-027	1	1	27
sub-028	1	1	27
sub-029	1	1	27
sub-030	1	1	27
sub-031	1	1	27
sub-032	1	1	27
sub-033	1	1	27
sub-034	1	1	27
sub-035	1	1	27
sub-036	1	1	27
sub-037	1	1	27
sub-038	1	1	27
sub-039	1	1	27
sub-040	1	1	27
sub-104	1	1	27
sub-106	1	1	27
sub-107	1	1	27
sub-108	1	1	27
sub-109	1	1	27
sub-110	1	1	27
sub-111	1	1	27
sub-112	1	1	27
sub-113	1	1	27
sub-114	1	1	27
sub-115	1	1	27
sub-116	1	1	27
sub-117	1	1	27
sub-121	1	1	27
sub-126	1	1	27
sub-130	1	1	27
sub-138	1	1	27
sub-201	1	1	27
sub-202	1	1	27
sub-203	1	1	27
sub-204	1	1	27
sub-205	1	1	27
sub-206	1	1	27
sub-208	1	1	27
sub-209	1	1	27
sub-211	1	1	27
sub-212	1	1	27
sub-213	1	1	27
sub-214	1	1	27
sub-215	1	1	27
sub-216	1	1	27
sub-217	1	1	27
sub-218	1	1	27
sub-219	1	1	27
sub-220	1	1	27
sub-221	1	1	27
sub-222	1	1	27
sub-223	1	1	27
sub-501	1	1	27
sub-502	1	1	27
sub-503	1	1	27
sub-504	1	1	27
sub-505	1	1	27
sub-506	1	1	27
sub-507	1	1	27
sub-508	1	1	27
sub-509	1	1	27
sub-510	1	1	27
sub-511	1	1	27
sub-512	1	1	27
sub-513	1	1	27
sub-514	1	1	27
sub-515	1	1	27
sub-516	1	1	27
sub-517	1	1	27
sub-518	1	1	27
sub-519	1	1	27
sub-520	1	1	27
sub-521	1	1	27
sub-601	1	1	27
sub-602	1	1	27
sub-603	1	1	27
sub-604	1	1	27
sub-605	1	1	27
sub-606	1	1	27
sub-607	1	1	27
sub-608	1	1	27
sub-609	1	1	27
sub-611	1	1	27
sub-612	1	1	27
sub-613	1	1	27
sub-614	1	1	27
sub-617	1	1	27
sub-620	1	1	27
sub-624	1	1	27
sub-625	1	1	27
sub-701	1	1	27
sub-702	1	1	27
sub-703	1	1	27
sub-704	1	1	27
sub-705	1	1	27
sub-706	1	1	27
sub-707	1	1	27
sub-708	1	1	27
sub-709	1	1	27
sub-710	1	1	27
sub-711	1	1	27
sub-712	1	1	27
sub-713	1	1	27
sub-714	1	1	27
sub-715	1	1	27
sub-716	1	1	27
sub-717	1	1	27
sub-718	1	1	27
sub-719	1	1	27
sub-720	1	1	27
