subject_id	warning_codes_ext_n	warning_codes_n	warning_n
root	1	1	1244
sub-SAXSISO01b	1	1	127
sub-SAXSISO01f	1	1	98
sub-SAXSISO01s	1	1	101
sub-SAXSISO02b	1	1	127
sub-SAXSISO02f	1	1	98
sub-SAXSISO02s	1	1	98
sub-SAXSISO03b	1	1	127
sub-SAXSISO03f	1	1	98
sub-SAXSISO03s	1	1	98
sub-SAXSISO04b	1	1	128
sub-SAXSISO04f	1	1	98
sub-SAXSISO04s	1	1	98
sub-SAXSISO08b	1	1	128
sub-SAXSISO08f	1	1	98
sub-SAXSISO08s	1	1	98
sub-SAXSISO09b	1	1	128
sub-SAXSISO09f	1	1	98
sub-SAXSISO09s	1	1	98
sub-SAXSISO10b	1	1	128
sub-SAXSISO10f	1	1	98
sub-SAXSISO10s	1	1	98
sub-SAXSISO11b	1	1	128
sub-SAXSISO11f	1	1	98
sub-SAXSISO11s	1	1	98
sub-SAXSISO12b	1	1	128
sub-SAXSISO12f	1	1	98
sub-SAXSISO12s	1	1	98
sub-SAXSISO13b	1	1	128
sub-SAXSISO13f	1	1	98
sub-SAXSISO13s	1	1	98
sub-SAXSISO14b	1	1	128
sub-SAXSISO14f	1	1	98
sub-SAXSISO14s	1	1	98
sub-SAXSISO15b	1	1	128
sub-SAXSISO15f	1	1	98
sub-SAXSISO15s	1	1	98
sub-SAXSISO17b	1	1	128
sub-SAXSISO17f	1	1	98
sub-SAXSISO17s	1	1	98
sub-SAXSISO18b	1	1	127
sub-SAXSISO18f	1	1	98
sub-SAXSISO18s	1	1	98
sub-SAXSISO19b	1	1	128
sub-SAXSISO19f	1	1	98
sub-SAXSISO19s	1	1	98
sub-SAXSISO21b	1	1	128
sub-SAXSISO21f	1	1	98
sub-SAXSISO21s	1	1	98
sub-SAXSISO22b	1	1	127
sub-SAXSISO22f	1	1	98
sub-SAXSISO22s	1	1	98
sub-SAXSISO24b	1	1	127
sub-SAXSISO24f	1	1	98
sub-SAXSISO24s	1	1	98
sub-SAXSISO26b	1	1	127
sub-SAXSISO26f	1	1	98
sub-SAXSISO26s	1	1	98
sub-SAXSISO27b	1	1	127
sub-SAXSISO27f	1	1	98
sub-SAXSISO27s	1	1	98
sub-SAXSISO28b	1	1	127
sub-SAXSISO28f	1	1	98
sub-SAXSISO28s	1	1	98
sub-SAXSISO30b	1	1	127
sub-SAXSISO30f	1	1	98
sub-SAXSISO30s	1	1	98
sub-SAXSISO32b	1	1	127
sub-SAXSISO32f	1	1	98
sub-SAXSISO32s	1	1	98
sub-SAXSISO33b	1	1	127
sub-SAXSISO33f	1	1	98
sub-SAXSISO33s	1	1	98
sub-SAXSISO34b	1	1	127
sub-SAXSISO34f	1	1	98
sub-SAXSISO34s	1	1	98
sub-SAXSISO35b	1	1	127
sub-SAXSISO35f	1	1	98
sub-SAXSISO35s	1	1	98
sub-SAXSISO36b	1	1	127
sub-SAXSISO36f	1	1	98
sub-SAXSISO36s	1	1	98
sub-SAXSISO38b	1	1	127
sub-SAXSISO38f	1	1	98
sub-SAXSISO38s	1	1	98
sub-SAXSISO39b	1	1	127
sub-SAXSISO39f	1	1	78
sub-SAXSISO39s	1	1	98
sub-SAXSISO40b	1	1	127
sub-SAXSISO40f	1	1	98
sub-SAXSISO40s	1	1	98
sub-SAXSISO41b	1	1	127
sub-SAXSISO41f	1	1	98
sub-SAXSISO41s	1	1	98
sub-SAXSISO42b	1	1	127
sub-SAXSISO42f	1	1	98
sub-SAXSISO42s	1	1	98
